Text	Text.1
Theo quy dinh cua phap luat va dac biet trong boi canh nen kinh te thi truong chua hoan thien nhu cua Viet Nam hien nay kiem toan va KTV co quyen luc va trach nhiem rat lon trong viec gop phan bao ve lam lanh manh cac hoat dong tai chinh ngan sach tien te Viec mot bo phan KTV khong giu duoc minh sa nga thoai hoa vi pham phap luat au cung la mot phan tat yeu cua cuoc song Nhung van de la viec kiem tra xu ly doi voi nhung KTV sai pham vi pham phap luat lau nay chua duoc day manh va cong khai o muc do rong tren truyen thong nen y nghia giao duc ngan chan chua duoc nhu mong muon Mat khac cong voi viec hang loat can bo tin dung ngan hang vi pham phap luat lam ton that uy tin mat mat tien bac cua to chuc doanh nghiep ca nhan trong boi canh khung hoang kinh te vua roi cho thay cong tac tuyen dung dau vao o cac linh vuc kiem toan tai chinh ngan hang thoi gian qua con nhieu long leo chi qua chu trong vao tai ma xem nhe duc	Theo quy định của pháp luật và đặc biệt trong bối cảnh nền kinh tế thị trường chưa hoàn thiện như của Việt Nam hiện nay kiểm toán và KTV có quyền lực và trách nhiệm rất lớn trong việc góp phần bảo vệ làm lành mạnh các hoạt động tài chính ngân sách tiền tệ Việc một bộ phận KTV không giữ được mình sa ngã thoái hoá vi phạm pháp luật âu cũng là một phần tất yếu của cuộc sống Nhưng vấn đề là việc kiểm tra xử lý đối với những KTV sai phạm vi phạm pháp luật lâu nay chưa được đẩy mạnh và công khai ở mức độ rộng trên truyền thông nên ý nghĩa giáo dục ngăn chặn chưa được như mong muốn Mặt khác cộng với việc hàng loạt cán bộ tín dụng ngân hàng vi phạm pháp luật làm tổn thất uy tín mất mát tiền bạc của tổ chức doanh nghiệp cá nhân trong bối cảnh khủng hoảng kinh tế vừa rồi cho thấy công tác tuyển dụng đầu vào ở các lĩnh vực kiểm toán tài chính ngân hàng thời gian qua còn nhiều lỏng lẻo chỉ quá chú trọng vào tài mà xem nhẹ đức
Ve phia cac doanh nghiep can theo doi va nam tinh hinh khi Hoa Ky xay dung va ban hanh tieu chuan ky thuat ve quy trinh san xuat va che bien san pham doi voi hang nhap khau ca da tron de co su chuan bi cu the	Về phía các doanh nghiệp cần theo dõi và nắm tình hình khi Hoa Kỳ xây dựng và ban hành tiêu chuẩn kỹ thuật về quy trình sản xuất và chế biến sản phẩm đối với hàng nhập khẩu cá da trơn để có sự chuẩn bị cụ thể
Xa hon toi pham mang co the su dung ky thuat SEO mu den de day nhung lien ket nguy hiem len cac vi tri dau cua ket qua tim kiem Thong thuong nhung lien ket nay khong chi huong den trang web voi noi dung dang ngo ma con co the la chuong trinh doc hai Dang chu y la nhung thanh thieu nien to mo thuong rat quan tam den nhung trang web co noi dung khong lanh manh va mot so nguoi muon tim den nhung trang web danh cho nguoi lon	Xa hơn tội phạm mạng có thể sử dụng kỹ thuật SEO mũ đen để đẩy những liên kết nguy hiểm lên các vị trí đầu của kết quả tìm kiếm Thông thường những liên kết này không chỉ hướng đến trang web với nội dung đáng ngờ mà còn có thể là chương trình độc hại Đáng chú ý là những thanh thiếu niên tò mò thường rất quan tâm đến những trang web có nội dung không lành mạnh và một số người muốn tìm đến những trang web dành cho người lớn
Truoc do thong tin mot so can ho o CT1 Ngo Thi Nham duoc rao ban tren mang Internet gap 225 lan gia goc da gay buc xuc trong du luan	Trước đó thông tin một số căn hộ ở CT1 Ngô Thì Nhậm được rao bán trên mạng Internet gấp 225 lần giá gốc đã gây bức xúc trong dự luận
 Ngay 111 truong Phong GDDT huyen Nghi Loc Nghe An Nguyen Duc Thinh cho biet Hoi dong ky luat Truong tieu hoc Nghi Hoa huyen Nghi Loc da khien trach giao vien Ngo Thi Phuong truoc toan the giao vien nha truong Rieng Phong GDDT huyen da to chuc rut kinh nghiem trong toan nganh ve cach xu phat hoc sinh khong the chap nhan duoc cua giao vien Phuong	 Ngày 111 trưởng Phòng GDĐT huyện Nghi Lộc Nghệ An Nguyễn Đức Thịnh cho biết Hội đồng kỷ luật Trường tiểu học Nghi Hoa huyện Nghi Lộc đã khiển trách giáo viên Ngô Thị Phượng trước toàn thể giáo viên nhà trường Riêng Phòng GDĐT huyện đã tổ chức rút kinh nghiệm trong toàn ngành về cách xử phạt học sinh không thể chấp nhận được của giáo viên Phượng
Mot thanh vien co nguoi than cua vo chet trong tham hoa do noi Nguoi nao dinh lao vao vung bien Dai Tay Duong de gap lai cai chet cua 98 nam truoc de trai nghiem dieu ma nguoi song mieu ta la nhu ngan con dao dam vao co the	Một thành viên có người thân của vợ chết trong thảm họa đó nói Người nào định lao vào vùng biển Đại Tây Dương để gặp lại cái chết của 98 năm trước để trải nghiệm điều mà người sống miêu tả là như ngàn con dao đâm vào cơ thể
Xin manh dan trao doi cung tac gia bai viet	Xin mạnh dạn trao đổi cùng tác giả bài viết
Cac dia phuong tich cuc thong bao keu goi va san sang cac luc luong cuu ho Bo Ngoai giao lam viec voi cac nuoc de giup ngu dan co the tranh tru bao an toan	Các địa phương tích cực thông báo kêu gọi và sẵn sàng các lực lượng cứu hộ Bộ Ngoại giao làm việc với các nước để giúp ngư dân có thể tránh trú bão an toàn
Trong khi do chu mot cua hang thoi trang o quan 5 tiet lo thoi buoi nay neu khong giam gia se kho hut khach boi dau dau cung o at khuyen mai it cung 1020 co noi ha 7090 Chua biet co giam that hay khong nhung thong diep nay se dap ngay vao mat khach thuc bach ho buoc vao cua hang Nhu vay buoc dau tien keo khach toi da thanh cong Sau do khi vao ben trong dau phai khach chi xem hang giam gia Tam ly ham thich cai dep khien nguoi tieu dung san sang chi tien de so huu san pham ung y ke ca khi no khong la hang giam gia di nua chi ly giai	Trong khi đó chủ một cửa hàng thời trang ở quận 5 tiết lộ thời buổi này nếu không giảm giá sẽ khó hút khách bởi đâu đâu cũng ồ ạt khuyến mãi ít cũng 1020 có nơi hạ 7090 Chưa biết có giảm thật hay không nhưng thông điệp này sẽ đập ngay vào mắt khách thúc bách họ bước vào cửa hàng Như vậy bước đầu tiên kéo khách tới đã thành công Sau đó khi vào bên trong đâu phải khách chỉ xem hàng giảm giá Tâm lý ham thích cái đẹp khiến người tiêu dùng sẵn sàng chi tiền để sở hữu sản phẩm ưng ý kể cả khi nó không là hàng giảm giá đi nữa chị lý giải
Nha ba Tai co den 7 nguoi con Phuoc la con ut Cac anh chi phan lon deu ly huong muu sinh lam cong nhan tan TP Ho Chi Minh	Nhà bà Tại có đến 7 người con Phước là con út Các anh chị phần lớn đều ly hương mưu sinh làm công nhân tận TP Hồ Chí Minh
To dieu hanh cho rang voi thong tu nay gia sua tren thi truong se tung buoc di vao quan ly va se dan on dinh	Tổ điều hành cho rằng với thông tư này giá sữa trên thị trường sẽ từng bước đi vào quản lý và sẽ dần ổn định
Song Taegukgi khong chi la su the hien chien tranh mang tinh giat gan hinh thuc Nhan manh su khoc liet tan bao cua chien tranh cac nha lam phim da phoi bay tinh vo nghia phi ly cua no Trong boi canh khung khiep nhu chon dia nguc tran gian con nguoi ban giet lan nhau va tu giet di phan nhan tinh cua minh Cac tac gia da the hien bi kich cua con nguoi trong chien tranh thong qua cau chuyen dau thuong cua gia dinh hai anh em Jin Tae Jang Dong Gun va Jin Seok Won Bin	Song Taegukgi không chỉ là sự thể hiện chiến tranh mang tính giật gân hình thức Nhấn mạnh sự khốc liệt tàn bạo của chiến tranh các nhà làm phim đã phơi bày tính vô nghĩa phi lý của nó Trong bối cảnh khủng khiếp như chốn địa ngục trần gian con người bắn giết lẫn nhau và tự giết đi phần nhân tính của mình Các tác giả đã thể hiện bi kịch của con người trong chiến tranh thông qua câu chuyện đau thương của gia đình hai anh em Jin Tae Jang Dong Gun và Jin Seok Won Bin
Neu xet ve do ben cac dong dien thoai khong day co dinh duoc vi nhu noi dong coi da trong gioi dien thoai Tuy nhien khong co nghia la yeu to hinh thuc cua san pham nay bi xem nhe khi cac dong khong day moi cua Sharp mong dep va tinh te khong kem mot chiec dien thoai di dong Chiec may nhe nhat co trong luong 106g cua dong Fashion JDC202 do mong chi 16mm trong khi chiec nang nhat la dong Standard JDC100 cung chi khoang 115g hoac nhu dong Deluxe JDC200 chi nang 110g va do mong 15mm Voi nhieu mau sac bat mat nhu trang den do cam xanh la nguoi dung co the thoai mai lua chon dien thoai theo ca tinh va so thich	Nếu xét về độ bền các dòng điện thoại không dây cố định được ví như nồi đồng cối đá trong giới điện thoại Tuy nhiên không có nghĩa là yếu tố hình thức của sản phẩm này bị xem nhẹ khi các dòng không dây mới của Sharp mỏng đẹp và tinh tế không kém một chiếc điện thoại di động Chiếc máy nhẹ nhất có trọng lượng 106g của dòng Fashion JDC202 độ mỏng chỉ 16mm trong khi chiếc nặng nhất là dòng Standard JDC100 cũng chỉ khoảng 115g hoặc như dòng Deluxe JDC200 chỉ nặng 110g và độ mỏng 15mm Với nhiều màu sắc bắt mắt như trắng đen đỏ cam xanh lá người dùng có thể thoải mái lựa chọn điện thoại theo cá tính và sở thích
Thong tin tu Co quan Canh sat dieu tra Cong an tinh Long An cho biet da ra quyet dinh khoi to bi can doi voi ba Tran Thuy Lieu 40 tuoi ngu tai khu dan cu Dai Duong phuong 6 TP Tan An Long An ve hanh vi giet nguoi	Thông tin từ Cơ quan Cảnh sát điều tra Công an tỉnh Long An cho biết đã ra quyết định khởi tố bị can đối với bà Trần Thúy Liễu 40 tuổi ngụ tại khu dân cư Đại Dương phường 6 TP Tân An Long An về hành vi giết người
Ong nhan manh rang ca 2 goc do khong doc sach va doc nhieu nhung khong co phuong phap deu nguy hiem nhu nhau	Ông nhấn mạnh rằng cả 2 góc độ không đọc sách và đọc nhiều nhưng không có phương pháp đều nguy hiểm như nhau
Dieu tri duoc	Điều trị được
 Khong phai ep ma vi thich nau com thich nuoi trau bo heo ga Nam 7 tuoi toi da biet do de cho heo Do con heo me da khong tu de duoc trong khi me toi lai vang nha nen toi va bo phai lo cho heo sinh de Hom do do tay cua ba lon qua nen toi phai truc tiep dua tay minh vao bung heo me de moc con heo ra Toi da tu tay cat ron bong be cho no bu sua nua Chung nhu nhung nguoi ban than thiet voi toi luc be	 Không phải ép mà vì thích nấu cơm thích nuôi trâu bò heo gà Năm 7 tuổi tôi đã biết đỡ đẻ cho heo Do con heo mẹ đã không tự đẻ được trong khi mẹ tôi lại vắng nhà nên tôi và bố phải lo cho heo sinh đẻ Hôm đó do tay của ba lớn quá nên tôi phải trực tiếp đưa tay mình vào bụng heo mẹ để móc con heo ra Tôi đã tự tay cắt rốn bồng bế cho nó bú sữa nữa Chúng như những người bạn thân thiết với tôi lúc bé
6g Phim Long phung hoa duyen 9g30 Phim Dem dinh menh 11g Phim Mua chim en xon xao 12g20 Phim Me yeu 17g Phim Lieu Tam Bien 19g10 Ca nhac Giai dieu ban tre 19g45 Phim Tieu thu lo lem 20g40 Phim Cuoc song tuoi dep 23g15 Phim Canh bac nghiet nga	6g Phim Long phụng hòa duyên 9g30 Phim Đêm định mệnh 11g Phim Mùa chim én xôn xao 12g20 Phim Mẹ yêu 17g Phim Liễu Tam Biến 19g10 Ca nhạc Giai điệu bạn trẻ 19g45 Phim Tiểu thư lọ lem 20g40 Phim Cuộc sống tươi đẹp 23g15 Phim Canh bạc nghiệt ngã
Toi ngoi nghe nguoi nhac si lao thanh ca sang tac dau doi thanh cong nhat cua ong ma long xuc dong Tieng ca cua bac nhu tu trai tim vong ra hon tinh lang man cua am nhac phuong Nam bay bong tuyet voi ca tu trang nha giai dieu tuoi dep Trong cam nhan chuyen mon toi thay bai ca chuyen tu chu am qua tam trinh tu trinh ngu trinh at am quang 3 quang 4 va quang 5 cua giai dieu rat phong khoang va tai hoa Mot ban nhac co xay dung tren nen tang dan ca Nam Bo ma cach chuyen am giai rat phong phu hoan toan khong mang tinh don dieu von thuong gap cua dan ca chut nao	Tôi ngồi nghe người nhạc sĩ lão thành ca sáng tác đầu đời thành công nhất của ông mà lòng xúc động Tiếng ca của bác như từ trái tim vọng ra hồn tính lãng mạn của âm nhạc phương Nam bay bổng tuyệt vời ca từ trang nhã giai điệu tươi đẹp Trong cảm nhận chuyên môn tôi thấy bài ca chuyển từ chủ âm qua tam trình tứ trình ngũ trình át âm quãng 3 quãng 4 và quãng 5 của giai điệu rất phóng khoáng và tài hoa Một bản nhạc cổ xây dựng trên nền tảng dân ca Nam Bộ mà cách chuyển âm giai rất phong phú hoàn toàn không mang tính đơn điệu vốn thường gặp của dân ca chút nào
HNMO Sau vai dien nguoi soi Jacob trong loat phim an khach dinh dam khap the gioi Twilight Taylor Lautner se tai xuat khan gia trong bo phim Abduction Truy kich Day la bo phim thuoc the loai hanh dong ly ky kich tinh voi nhung pha gay can den nghet tho cua dao dien John Singleton	HNMO Sau vai diễn người sói Jacob trong loạt phim ăn khách đình đám khắp thế giới Twilight Taylor Lautner sẽ tái xuất khán giả trong bộ phim Abduction Truy kích Đây là bộ phim thuộc thể loại hành động ly kỳ kịch tính với những pha gay cấn đến nghẹt thở của đạo diễn John Singleton
Tim duong tro lai voi thoi dinh cao Tacchini ky voi Djokovic mot hop dong tai tro co thoi han den 10 nam tu mua Thu nam 2009 khi hop dong cua anh voi Adidas het han Nhu cau ve trang phuc cua Tacchini o My len cao den muc mot so nha ban le da len tieng than phien vi thoi gian ra mat cac mau moi ma Djokovic mac o cac giai lon tai My qua cham	Tìm đường trở lại với thời đỉnh cao Tacchini ký với Djokovic một hợp đồng tài trợ có thời hạn đến 10 năm từ mùa Thu năm 2009 khi hợp đồng của anh với Adidas hết hạn Nhu cầu về trang phục của Tacchini ở Mỹ lên cao đến mức một số nhà bán lẻ đã lên tiếng than phiền vì thời gian ra mắt các mẫu mới mà Djokovic mặc ở các giải lớn tại Mỹ quá chậm
 Bi thu tinh ma con kho the thi cac bac con kho the nao Em cung may chi dinh cai duoi doi chua kip suy nhuoc da sang thi truong de tho han co tien tha ho danh chen	 Bí thư tỉnh mà còn khó thế thì các bác còn khó thế nào Em cũng may chỉ dính cái đuôi đói chưa kịp suy nhược đã sang thị trường dễ thở hẳn có tiền tha hồ đánh chén
De nang cao hieu qua DTC can cac giai phap ngan han va dai han trong do ve ngan han can tap trung khac phuc tinh trang dau tu dan trai phan tan va thieu dong bo da ton tai nhieu nam nay Xu ly duoc mau thuan het suc cam go giua mot ben la von dau tu co the huy dong duoc rat co han va mot ben la nhu cau yeu cau von dau tu cua cac du an da quyet dinh dau tu rat lon Mot van de lon dat ra la so luong du an phai cat dinh hoan co the lon quyet dinh cat giam du an nao do lien quan den viec nguoi duoc nguoi mat Dieu nay doi hoi su quyet tam kien dinh va cung ran cua cac nha lanh dao co quan quan ly va phan bo von dau tu ma ca su thau hieu ung ho va dong thuan cua cac cap nganh truoc het la cac ben lien quan tung du an cu the	Ðể nâng cao hiệu quả ÐTC cần các giải pháp ngắn hạn và dài hạn trong đó về ngắn hạn cần tập trung khắc phục tình trạng đầu tư dàn trải phân tán và thiếu đồng bộ đã tồn tại nhiều năm nay Xử lý được mâu thuẫn hết sức cam go giữa một bên là vốn đầu tư có thể huy động được rất có hạn và một bên là nhu cầu yêu cầu vốn đầu tư của các dự án đã quyết định đầu tư rất lớn Một vấn đề lớn đặt ra là số lượng dự án phải cắt đình hoãn có thể lớn quyết định cắt giảm dự án nào đó liên quan đến việc người được người mất Ðiều này đòi hỏi sự quyết tâm kiên định và cứng rắn của các nhà lãnh đạo cơ quan quản lý và phân bổ vốn đầu tư mà cả sự thấu hiểu ủng hộ và đồng thuận của các cấp ngành trước hết là các bên liên quan từng dự án cụ thể
Di nhien viec nay cung khien Thanh Thao dau dau khong it Chi buc xuc Toi rat buon vi khong ngo la cho than quen noi chuyen voi nhau mot cach binh thuong thi sao lai phai ghi am Toi nhan la toi da sai vi khong kiem che duoc cam xuc trong luc dang cang thang va co duoc mot bai hoc kinh nghiem nua trong doi Con nguoi ai cung co loi va du nguoi hien nhat ma bi don ep thi cung se co luc nong gian mong rang moi nguoi se hieu va thong cam	Dĩ nhiên việc này cũng khiến Thanh Thảo đau đầu không ít Chị bức xúc Tôi rất buồn vì không ngờ là chỗ thân quen nói chuyện với nhau một cách bình thường thì sao lại phải ghi âm Tôi nhận là tôi đã sai vì không kiềm chế được cảm xúc trong lúc đang căng thẳng và có được một bài học kinh nghiệm nữa trong đời Con người ai cũng có lỗi và dù người hiền nhất mà bị dồn ép thì cũng sẽ có lúc nóng giận mong rằng mọi người sẽ hiểu và thông cảm
Ngoai ra chung toi co nhung buoi bieu dien dac biet danh rieng cho hoc vien tai Trung tam dao tao va day nghe cho nguoi tan tat Vo Thi Sau tham truong danh cho tre em khiem thi o Tan Ky Tan Quy Va nhom con bieu dien cho ca tre em tan tat bui doi tre nhiem HIVAIDS tai nha van hoa Thanh Nien Do la nhung khan gia dac biet va chung toi khong muon ho that vong khi xem Ozomatli trinh dien	Ngoài ra chúng tôi có những buổi biểu diễn đặc biệt dành riêng cho học viên tại Trung tâm đào tạo và dạy nghề cho người tàn tật Võ Thị Sáu thăm trường dành cho trẻ em khiếm thị ở Tân Kỳ Tân Quý Và nhóm còn biểu diễn cho cả trẻ em tàn tật bụi đời trẻ nhiễm HIVAIDS tại nhà văn hóa Thanh Niên Đó là những khán giả đặc biệt và chúng tôi không muốn họ thất vọng khi xem Ozomatli trình diễn
Neu cac luc luong tham gia chua chay khong co gang het suc giac lua khong duoc ngan chan thi Vuon quoc gia Hoang Lien dung truoc nguy co bi tieu huy dat nuoc se vinh vien mat di mot tai san quy bau ma du co do that nhieu tien bac bao nhieu cong suc di nua cung khong the khoi phuc lai Chung ta can nhan thuc sau sac rang thien nhien da trao mot dac an cho dat nuoc so huu Vuon quoc gia Hoang Lien mot tai san ma rat nhieu quoc gia tren the gioi co nam mo cung khong co duoc Vi the nhiem vu bao ve va phat trien Vuon quoc gia nay can duoc coi trong dac biet Tran chay rung lan nay khong con la loi canh bao don thuan ma la vi du phu phang rang Chung ta hoan toan co the mat di nhung tai san thien nhien vo cung quy gia neu khong co bien phap phong chay chua chay rung bai ban hieu qua Tham hoa do co khi chi bat dau tu mot su bat can vo trach nhiem cua mot ca nhan nao do	Nếu các lực lượng tham gia chữa cháy không cố gắng hết sức giặc lửa không được ngăn chặn thì Vườn quốc gia Hoàng Liên đứng trước nguy cơ bị tiêu hủy đất nước sẽ vĩnh viễn mất đi một tài sản quý báu mà dù có đổ thật nhiều tiền bạc bao nhiêu công sức đi nữa cũng không thể khôi phục lại Chúng ta cần nhận thức sâu sắc rằng thiên nhiên đã trao một đặc ân cho đất nước sở hữu Vườn quốc gia Hoàng Liên một tài sản mà rất nhiều quốc gia trên thế giới có nằm mơ cũng không có được Vì thế nhiệm vụ bảo vệ và phát triển Vườn quốc gia này cần được coi trọng đặc biệt Trận cháy rừng lần này không còn là lời cảnh báo đơn thuần mà là ví dụ phũ phàng rằng Chúng ta hoàn toàn có thể mất đi những tài sản thiên nhiên vô cùng quý giá nếu không có biện pháp phòng cháy chữa cháy rừng bài bản hiệu quả Thảm họa đó có khi chỉ bắt đầu từ một sự bất cẩn vô trách nhiệm của một cá nhân nào đó
e Quyen han va trach nhiem cua nguoi duoc giao xac minh noi dung to cao	e Quyền hạn và trách nhiệm của người được giao xác minh nội dung tố cáo
Hai vo chong toi co vay tien de sua nha gio li hon thi toi co trach nhiem cung voi chong tra no so tien ay khong	Hai vợ chồng tôi có vay tiền đế sửa nhà giờ li hôn thì tôi có trách nhiệm cùng với chồng trả nợ số tiền ấy không
Xa To Hieu hom nay	Xã Tô Hiệu hôm nay
Trong chien dich thuc hien Ke hoach trien khai dot thanh tra kiem tra ve ATTP trong dip Tet Nguyen dan Nham Thin 2012 cuoi thang 122011 doan thanh tra dot xuat ve ATTP do Thanh tra Bo Y te chu tri phoi hop voi Cuc ATVSTP Cuc Canh sat C49 Bo Cong an va cac co quan chuc nang cua Hai Duong da thanh tra kiem tra dot xuat mot co so san xuat ot bot tai Hai Duong va phat hien vi pham tren	Trong chiến dịch thực hiện Kế hoạch triển khai đợt thanh tra kiểm tra về ATTP trong dịp Tết Nguyên đán Nhâm Thìn 2012 cuối tháng 122011 đoàn thanh tra đột xuất về ATTP do Thanh tra Bộ Y tế chủ trì phối hợp với Cục ATVSTP Cục Cảnh sát C49 Bộ Công an và các cơ quan chức năng của Hải Dương đã thanh tra kiểm tra đột xuất một cơ sở sản xuất ớt bột tại Hải Dương và phát hiện vi phạm trên
Sau nay theo loi ke lai cua cac so ong Thanh moi biet do nham lan nguoi ta da dua Thanh cung nhung dua tre con am ngua ve tap ket tai co nhi vien Go Vap de so tan di nuoc ngoai Luc do tren co tay Thanh con cot mot ban sao giay khai sinh Hai anh cua Thanh do lon hon nen o lai	Sau này theo lời kể lại của các sơ ông Thạnh mới biết do nhầm lẫn người ta đã đưa Thanh cùng những đứa trẻ còn ẵm ngửa về tập kết tại cô nhi viện Gò Vấp để sơ tán đi nước ngoài Lúc đó trên cổ tay Thanh còn cột một bản sao giấy khai sinh Hai anh của Thanh do lớn hơn nên ở lại
